Size	   Bubble Sort	Selection Sort	Insertion Sort
50	109088.02	34114.79	74049.59
100	84355.57	30108.895	108378.66
150	149575.36	64770.004	215290.3
200	204706.62	99944.26	44318.09
250	315454.97	150948.95	69566.75
300	427803.25	200592.14	89837.61
350	586114.94	277355.6	124350.78
400	771172.4	349494.2	157532.72
450	939675.44	432898.88	194364.42
500	1138187.9	521221.03	232916.64
550	1416179.6	653559.25	296497.25
600	1640318.1	746192.8	344561.62
650	1957442.4	907643.75	403563.0
700	2461586.5	1199129.6	538702.4
750	2626618.0	1204533.2	536526.2
800	3061003.5	1394336.8	651697.0
850	3457002.2	1645887.9	732454.3
900	4082078.0	1985996.5	878307.6
950	5357873.5	2899888.8	1365941.8
1000	4678822.0	2134252.2	972087.94
